phase,epi,trans,endo
0.0000,244.7579,244.3273,234.5734
0.0204,244.9854,244.5542,234.2482
0.0408,244.4009,244.0988,233.5550
0.0612,242.6273,242.6731,232.3190
0.0816,239.8530,240.4564,230.6292
0.1020,236.5744,237.7939,228.7267
0.1224,233.2080,234.8472,226.8191
0.1429,229.9017,231.5571,225.0000
0.1633,226.6327,227.8903,223.3094
0.1837,223.3877,224.0405,221.8022
0.2041,220.2061,220.3993,220.5230
0.2245,217.0783,217.3967,219.4396
0.2449,213.8507,215.3293,218.4470
0.2653,210.2587,214.1484,217.4511
0.2857,206.1143,213.2476,216.4372
0.3061,201.5849,211.5527,215.4620
0.3265,200.0000,208.1582,214.5941
0.3469,200.0000,203.2227,213.8666
0.3673,200.0000,202.0000,213.2860
0.3878,200.0000,202.0000,212.9039
0.4082,201.2891,202.0000,212.8882
0.4286,207.1596,202.0000,213.5026
0.4490,213.1558,203.5208,214.9579
0.4694,218.4719,207.6731,217.2254
0.4898,222.7821,211.5914,219.9863
0.5102,226.1933,215.8127,222.7881
0.5306,229.0084,220.6912,225.2597
0.5510,231.4544,225.9039,227.2030
0.5714,233.5568,230.6567,228.5619
0.5918,235.2185,234.2762,229.3739
0.6122,236.3783,236.6040,229.7516
0.6327,237.0979,237.9424,229.8666
0.6531,237.5402,238.7480,229.9102
0.6735,237.8912,239.3864,230.0279
0.6939,238.2797,240.0635,230.2668
0.7143,238.7305,240.8379,230.5744
0.7347,239.1799,241.6262,230.8506
0.7551,239.5457,242.2520,231.0121
0.7755,239.7967,242.6156,231.0271
0.7959,239.9740,242.8862,230.9162
0.8163,240.1607,243.4604,230.7418
0.8367,240.4247,244.5821,230.6070
0.8571,240.7819,245.9864,230.6453
0.8776,241.2251,247.0548,230.9684
0.8980,241.7777,247.3627,231.5919
0.9184,242.4686,246.9884,232.4052
0.9388,243.2488,246.3309,233.2211
0.9592,243.9836,245.7691,233.8720
0.9796,244.5599,245.4751,234.2933
1.0000,244.9953,245.3912,234.5533
