phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-1.3783,76.1410,119.0207,7.9808,240.5434,241.0914,236.4023
0.0101,-1.2847,74.0665,117.6672,8.7990,240.7774,240.8214,235.7266
0.0202,-1.1911,71.9920,116.3136,9.6173,241.0115,240.5513,235.0508
0.0303,-0.5485,68.1670,113.9015,15.2962,239.8520,241.6826,232.6136
0.0404,0.1055,64.3056,111.4674,21.0763,238.6634,242.8430,230.1397
0.0505,1.0108,62.0499,108.9365,29.8143,236.8241,244.2546,226.7881
0.0606,1.9269,59.8626,106.4015,38.6782,234.9571,245.6768,223.3990
0.0707,2.7469,59.5429,104.2656,46.7903,233.4301,245.5601,221.3800
0.0808,3.5606,59.3451,102.1557,54.8533,231.9252,245.3429,219.4504
0.0909,4.2822,60.0358,100.5761,62.7279,230.9423,243.3004,219.1666
0.1010,4.9955,60.8055,99.0436,70.5858,230.0057,241.0956,219.0291
0.1111,5.7700,61.3380,97.8088,76.2614,229.1975,238.6839,219.5603
0.1212,6.5514,61.8435,96.6077,81.6889,228.4038,236.2488,220.1674
0.1313,7.3731,61.7310,95.3325,83.8335,227.4478,234.2509,220.6609
0.1414,8.2004,61.5323,94.0468,85.5198,226.4691,232.3140,221.1386
0.1515,8.9883,61.2828,92.5061,86.9685,225.4414,230.9160,221.3177
0.1616,9.7695,61.0248,90.9228,88.3776,224.4054,229.6077,221.4472
0.1717,10.6005,60.7237,89.1212,89.2267,223.4811,228.5104,221.5145
0.1818,11.4413,60.4142,87.2770,89.9665,222.5786,227.4543,221.5696
0.1919,12.3826,59.6718,85.1561,92.0142,221.6079,226.7742,221.4382
0.2020,13.3466,58.8319,82.9730,94.3561,220.6220,226.1787,221.2648
0.2121,14.1253,57.5855,80.2755,99.3720,219.0750,225.8475,220.6127
0.2222,14.8564,56.2348,77.4461,105.0736,217.3842,225.5840,219.8377
0.2323,15.0292,54.8724,74.1151,112.2695,214.9476,224.9915,218.4409
0.2424,15.0403,53.5066,70.6390,119.8980,212.2952,224.3037,216.8641
0.2525,14.5354,52.2392,67.2953,125.0772,209.4613,222.5845,215.1851
0.2626,13.8632,51.0037,63.9946,129.4618,206.5686,220.5307,213.4730
0.2727,13.1334,50.2527,61.7152,128.0437,204.4172,218.0053,211.7557
0.2828,12.3828,49.6765,59.8046,124.5298,202.5335,215.3095,210.0366
0.2929,11.9680,49.5027,59.2792,120.7820,201.9064,213.8163,209.0221
0.3030,11.6875,49.4899,59.3080,116.9407,201.7820,212.8042,208.2895
0.3131,11.6972,49.1023,60.2286,103.6105,202.6427,214.2549,208.2376
