phase,twist,height,volume,pressure,epi,trans,endo
0.0000,-11.1292,78.2281,116.4077,-0.4659,246.9745,243.7531,237.1378
0.0204,-11.1896,78.0316,114.2039,-0.2009,247.8560,243.9941,237.4131
0.0408,-9.1799,74.6774,107.7766,-0.0973,247.9983,244.3231,237.1828
0.0612,-6.1274,70.9763,105.5103,1.1773,247.9524,244.4358,237.1601
0.0816,-3.7538,68.5616,98.4907,7.6463,245.1880,241.1452,234.8941
0.1020,-1.5931,67.3818,95.8406,19.3998,241.0355,238.8821,232.8618
0.1224,0.4541,66.4490,88.0007,30.4273,237.2436,237.3590,231.0316
0.1429,3.2700,66.1604,83.3519,42.7611,234.8344,235.2575,230.1615
0.1633,6.1154,65.1761,78.0168,62.0934,232.3363,232.5834,229.6007
0.1837,8.4094,63.5613,72.8188,90.0380,229.5648,227.4178,229.2825
0.2041,10.8759,61.9978,68.9399,109.8218,226.4383,221.9598,229.2947
0.2245,12.2953,60.7892,66.6448,114.4239,223.2435,217.1941,228.9409
0.2449,13.6632,59.8525,64.4573,119.9290,219.9642,214.0513,228.3157
0.2653,13.1534,58.7615,62.6383,124.1003,216.6552,210.0343,227.5735
0.2857,13.2576,57.8676,61.5170,126.7178,213.2217,206.7493,226.6013
0.3061,12.9512,57.2654,61.9063,127.9140,210.0166,206.0394,225.1737
0.3265,13.0914,56.6473,61.1530,129.7198,206.7296,205.2849,224.0628
0.3469,12.1108,56.2229,58.0333,129.5356,202.9170,203.8811,223.0222
0.3673,11.8026,55.7395,57.4100,129.7831,200.2354,202.1362,222.3407
0.3878,11.2078,55.8489,56.8261,129.4689,199.9560,201.9749,221.4628
0.4082,10.4246,55.9672,57.2728,128.8174,199.7424,201.9466,220.8582
0.4286,6.7720,57.7223,57.5051,125.9368,202.0330,202.3130,220.4085
0.4490,0.6858,60.0798,59.0790,111.8370,208.1292,205.7841,220.7573
0.4694,-3.5622,63.2366,60.4689,92.3302,214.0749,207.7428,222.0189
0.4898,-6.9118,67.2639,63.8183,70.6114,220.6988,209.8839,224.1949
0.5102,-7.8859,70.7403,65.5544,53.6131,225.7873,212.3868,226.0025
0.5306,-7.9039,72.8241,71.7631,35.0326,229.9723,214.7745,228.6117
0.5510,-9.1838,73.1218,78.4130,15.4962,233.3738,218.7397,230.7065
0.5714,-8.7753,73.0833,86.0748,4.8200,235.7912,223.6841,232.0679
0.5918,-8.1717,72.6914,90.7677,0.8557,237.7929,228.4161,233.3007
0.6122,-8.7546,72.4202,96.3023,-0.0589,239.0539,232.2629,233.8954
0.6327,-8.5774,71.9754,97.8844,-0.1423,239.7129,235.1295,233.9543
0.6531,-8.7865,71.9828,96.2952,-0.3047,240.1773,237.0438,233.6820
0.6735,-8.5726,72.0175,100.1883,-0.1026,240.5563,238.3012,233.4436
0.6939,-8.5122,72.1194,99.2476,-0.3582,240.9319,239.2951,233.4120
0.7143,-8.9780,72.5496,103.7927,-0.0693,241.2907,240.0676,233.4564
0.7347,-9.7327,72.5245,101.1693,-0.0258,241.6619,240.5868,233.6301
0.7551,-9.3513,72.6277,104.2500,-0.0743,242.0246,240.8103,233.8373
0.7755,-9.4890,72.5940,101.5721,-0.0888,242.2734,240.9530,233.9964
0.7959,-8.8480,72.5237,105.8858,-0.0414,242.4155,241.2292,233.9995
0.8163,-9.0475,72.2909,102.9005,0.0443,242.5804,241.5608,233.9474
0.8367,-9.2353,71.8805,107.2012,0.1541,242.6413,241.9384,233.8134
0.8571,-9.2867,71.2622,109.2989,0.1507,242.5757,242.4562,233.6165
0.8776,-9.0306,71.5253,109.5027,0.3420,242.5245,243.6138,233.3393
0.8980,-9.3656,72.6493,111.4653,0.0477,242.5304,244.9549,233.1153
0.9184,-9.9527,74.5162,113.5261,-0.0646,242.8474,245.6762,233.2170
0.9388,-9.7136,76.5167,115.9031,-0.2111,243.7335,245.4678,233.7643
0.9592,-10.4957,77.9503,113.6593,-0.2721,244.6165,244.6325,234.8983
0.9796,-11.0146,78.3755,115.1716,-0.2376,245.7312,243.9863,236.2188
1.0000,-11.1486,78.2229,115.1191,-0.3087,246.7036,243.7594,237.0315
